City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,San Rafael,-34.6177,-68.3301,54.0,22,0,5.97,AR,2022-07-28 23:13:35
229,Verkhnetulomskiy,68.6073,31.7962,48.33,89,100,5.03,RU,2022-07-28 23:13:36
230,Henties Bay,-22.116,14.2845,53.35,90,15,6.24,NA,2022-07-28 23:13:36
231,Olinda,-8.0089,-34.8553,76.73,78,40,5.75,BR,2022-07-28 23:10:29
232,Kutum,14.2,24.6667,77.25,53,100,9.69,SD,2022-07-28 23:13:37
233,Chabahar,25.2919,60.643,80.8,80,100,9.19,IR,2022-07-28 23:13:37
234,Santo Antonio De Jesus,-12.9689,-39.2614,63.72,94,11,2.59,BR,2022-07-28 23:13:37
235,Santa Lucia,27.9117,-15.5407,66.76,73,20,29.93,ES,2022-07-28 23:13:37
236,Buriti Bravo,-5.8372,-43.8336,80.69,41,31,2.04,BR,2022-07-28 23:13:38
237,Aktash,50.3,87.7333,45.99,57,52,3.22,RU,2022-07-28 23:13:38
238,Albany,42.6001,-73.9662,82.81,62,59,1.99,US,2022-07-28 23:11:22
239,Gazanjyk,39.2446,55.5154,83.62,62,66,12.62,TM,2022-07-28 23:13:39
240,Doctor Juan Leon Mallorquin,-25.4,-55.2667,74.93,57,100,9.64,PY,2022-07-28 23:13:39
241,Shubarkuduk,49.1447,56.4872,71.22,58,6,5.21,KZ,2022-07-28 23:13:39
242,Lethem,3.3803,-59.7968,77.29,87,99,2.95,GY,2022-07-28 23:13:40
243,Bani,18.2833,-70.3333,79.86,66,11,11.27,DO,2022-07-28 23:13:40
244,Konevo,62.1215,39.3192,63.41,99,100,3.78,RU,2022-07-28 23:13:40
245,Veraval,20.9,70.3667,80.19,82,93,9.22,IN,2022-07-28 23:13:41
246,Trincomalee,8.5711,81.2335,78.51,86,100,7.18,LK,2022-07-28 23:10:03
247,Nioro,13.35,-15.75,78.57,83,60,9.22,GM,2022-07-28 23:13:41
248,Imbituba,-28.24,-48.6703,74.86,66,100,7.78,BR,2022-07-28 23:13:42
249,Ambilobe,-13.2,49.05,63.86,89,40,2.77,MG,2022-07-28 23:13:42
250,Sao Joao Da Barra,-21.6403,-41.0511,72.27,83,34,21.27,BR,2022-07-28 23:13:43
251,Chimbote,-9.0853,-78.5783,63.41,81,93,10.78,PE,2022-07-28 23:13:43
252,Shahrud,36.4182,54.9763,73.24,68,84,11.07,IR,2022-07-28 23:13:43
253,Aden,12.7794,45.0367,84.97,70,12,10.67,YE,2022-07-28 23:11:21
254,Kudahuvadhoo,2.6708,72.8944,82.09,75,78,13.2,MV,2022-07-28 23:13:44
255,Sao Felix Do Xingu,-6.6447,-51.995,77.11,41,9,1.23,BR,2022-07-28 23:13:44
256,Jacareacanga,-6.2222,-57.7528,79.52,43,4,0.34,BR,2022-07-28 23:13:44
257,San Matias,-16.3667,-58.4,81.64,25,80,4.59,BO,2022-07-28 23:13:45
258,Puri,19.8,85.85,82.92,77,83,9.73,IN,2022-07-28 23:09:59
259,Concarneau,47.875,-3.9225,65.82,75,87,5.48,FR,2022-07-28 23:09:19
260,Port-Cartier,50.0334,-66.8654,62.74,87,48,9.53,CA,2022-07-28 23:13:45
261,Kovdor,67.5662,30.4758,47.86,85,100,9.64,RU,2022-07-28 23:13:46
262,Sao Miguel Do Araguaia,-13.275,-50.1628,76.84,28,23,2.39,BR,2022-07-28 23:13:46
263,Charta,7.2803,-72.9678,58.53,96,98,2.1,CO,2022-07-28 23:13:47
264,Rincon,32.296,-81.2354,86.92,77,100,8.52,US,2022-07-28 23:11:49
265,Vila Velha,-20.3297,-40.2925,73.35,80,0,8.05,BR,2022-07-28 23:13:47
266,Inzer,54.2167,57.5556,51.3,95,65,2.44,RU,2022-07-28 23:13:48
267,Glace Bay,46.1969,-59.957,69.89,74,75,6.91,CA,2022-07-28 23:14:48
268,Vila Franca Do Campo,37.7167,-25.4333,72.01,87,12,3.49,PT,2022-07-28 23:14:48
269,Nileshwar,12.25,75.1,78.49,93,59,9.44,IN,2022-07-28 23:14:49
270,Ilheus,-14.7889,-39.0494,75.02,83,75,5.75,BR,2022-07-28 23:14:49
271,Camabatela,-8.1881,15.375,59.45,81,90,4.76,AO,2022-07-28 23:14:49
272,Wagar,16.1525,36.2032,82.49,61,100,15.77,SD,2022-07-28 23:14:50
273,Lukovetskiy,64.2956,41.9211,61.18,93,80,4.14,RU,2022-07-28 23:14:50
274,Qandala,11.472,49.8728,88.18,50,0,7.25,SO,2022-07-28 23:14:50
275,Kavaratti,10.5669,72.642,81.14,82,100,17.72,IN,2022-07-28 23:14:51
276,Tarancon,40.0085,-3.0073,77.2,26,0,5.93,ES,2022-07-28 23:14:51
277,Kolodeznyy,51.3333,39.1833,63.95,92,87,7.65,RU,2022-07-28 23:14:51
278,Kjollefjord,70.9457,27.3465,48.25,87,100,6.91,NO,2022-07-28 23:14:52
279,Porto Walter,-8.2686,-72.7439,79.25,64,14,1.66,BR,2022-07-28 23:11:22
280,Mollendo,-17.0231,-72.0147,60.28,84,65,9.57,PE,2022-07-28 23:14:52
281,Moramanga,-18.9333,48.2,58.3,99,99,2.1,MG,2022-07-28 23:14:52
282,Hamilton,39.1834,-84.5333,87.19,56,0,8.05,US,2022-07-28 23:12:58
283,Oudtshoorn,-33.5907,22.2014,57.16,40,0,6.85,ZA,2022-07-28 23:14:53
284,Tamandare,-8.7597,-35.1047,74.44,85,11,4.18,BR,2022-07-28 23:14:53
285,Dungarpur,23.8333,73.7167,78.57,80,97,5.82,IN,2022-07-28 23:14:54
286,Carnarvon,-24.8667,113.6333,69.53,56,100,1.3,AU,2022-07-28 23:14:54
287,Monzon,41.9108,0.1941,76.42,81,34,5.93,ES,2022-07-28 23:14:54
288,Lons-Le-Saunier,46.75,5.75,71.24,57,100,3.8,FR,2022-07-28 23:14:55
289,Sao Borja,-28.6606,-56.0044,55.94,93,100,12.33,BR,2022-07-28 23:14:55
